iter	Passed	Remaining
0	57	57861
1	112	56359
2	169	56397
3	230	57419
4	283	56375
5	341	56598
6	397	56328
7	451	55975
8	507	55891
9	562	55683
10	617	55488
11	675	55621
12	730	55462
13	786	55375
14	848	55693
15	907	55801
16	966	55867
17	1023	55817
18	1078	55694
19	1131	55452
20	1197	55845
21	1252	55671
22	1310	55648
23	1364	55477
24	1417	55292
25	1473	55204
26	1527	55045
27	1580	54864
28	1635	54767
29	1690	54665
30	1743	54506
31	1796	54342
32	1850	54214
33	1902	54064
34	1957	53971
35	2013	53912
36	2066	53780
37	2126	53842
38	2183	53810
39	2242	53813
40	2300	53806
41	2358	53796
42	2418	53815
43	2477	53822
44	2531	53732
45	2593	53795
46	2650	53739
47	2704	53634
48	2759	53565
49	2815	53490
50	2871	53431
51	2927	53361
52	2981	53267
53	3036	53202
54	3091	53123
55	3145	53028
56	3201	52959
57	3255	52879
58	3310	52798
59	3364	52708
60	3420	52651
61	3474	52567
62	3529	52487
63	3585	52440
64	3641	52387
65	3696	52304
66	3753	52271
67	3809	52215
68	3863	52135
69	3919	52077
70	3974	52003
71	4031	51966
72	4089	51924
73	4147	51895
74	4205	51862
75	4261	51806
76	4321	51799
77	4380	51779
78	4442	51790
79	4500	51760
80	4558	51716
81	4614	51663
82	4673	51636
83	4734	51629
84	4797	51639
85	4859	51646
86	4916	51594
87	4978	51596
88	5036	51556
89	5090	51473
90	5144	51388
91	5200	51331
92	5257	51277
93	5315	51229
94	5376	51218
95	5433	51167
96	5492	51132
97	5552	51102
98	5609	51052
99	5666	50996
100	5726	50969
101	5786	50945
102	5844	50896
103	5900	50836
104	5956	50768
105	6013	50720
106	6072	50676
107	6130	50635
108	6189	50594
109	6245	50534
110	6303	50480
111	6354	50385
112	6407	50299
113	6461	50217
114	6514	50135
115	6567	50048
116	6619	49957
117	6670	49857
118	6721	49759
119	6772	49664
120	6825	49581
121	6879	49509
122	6933	49433
123	6985	49352
124	7038	49272
125	7089	49179
126	7142	49098
127	7195	49019
128	7247	48934
129	7302	48869
130	7355	48795
131	7410	48729
132	7466	48674
133	7521	48611
134	7578	48555
135	7634	48503
136	7687	48427
137	7739	48344
138	7793	48275
139	7845	48193
140	7898	48119
141	7951	48043
142	8006	47980
143	8062	47926
144	8124	47904
145	8181	47855
146	8240	47820
147	8301	47788
148	8356	47729
149	8416	47691
150	8472	47637
151	8530	47592
152	8588	47543
153	8646	47500
154	8704	47454
155	8762	47405
156	8819	47356
157	8878	47313
158	8933	47251
159	8987	47185
160	9045	47135
161	9103	47088
162	9161	47043
163	9219	46999
164	9279	46960
165	9337	46911
166	9396	46870
167	9451	46807
168	9504	46733
169	9559	46674
170	9613	46605
171	9667	46538
172	9721	46470
173	9774	46401
174	9826	46324
175	9881	46265
176	9936	46201
177	9991	46138
178	10045	46075
179	10100	46011
180	10153	45945
181	10208	45881
182	10263	45819
183	10316	45752
184	10370	45687
185	10425	45625
186	10479	45561
187	10534	45499
188	10587	45429
189	10642	45370
190	10696	45304
191	10752	45251
192	10808	45192
193	10863	45133
194	10916	45067
195	10972	45008
196	11026	44946
197	11079	44876
198	11132	44808
199	11185	44740
200	11241	44686
201	11296	44628
202	11352	44570
203	11408	44516
204	11463	44454
205	11516	44389
206	11570	44327
207	11623	44259
208	11678	44200
209	11732	44135
210	11787	44077
211	11844	44024
212	11898	43964
213	11956	43913
214	12010	43853
215	12064	43788
216	12119	43730
217	12176	43679
218	12231	43621
219	12289	43571
220	12343	43510
221	12399	43454
222	12455	43397
223	12510	43340
224	12564	43279
225	12620	43221
226	12674	43159
227	12729	43102
228	12784	43043
229	12840	42987
230	12895	42930
231	12953	42879
232	13008	42823
233	13063	42763
234	13118	42706
235	13172	42642
236	13225	42579
237	13277	42510
238	13334	42457
239	13393	42411
240	13448	42355
241	13503	42295
242	13556	42231
243	13610	42171
244	13667	42118
245	13723	42063
246	13778	42004
247	13833	41948
248	13889	41891
249	13941	41825
250	13996	41766
251	14051	41708
252	14104	41644
253	14160	41589
254	14220	41545
255	14273	41482
256	14327	41421
257	14383	41366
258	14440	41315
259	14494	41253
260	14550	41197
